sentiment,text
positive,Perfect fit...Really nice product!!
positive,"I have been making things frustrating forgetting to carry my sunglasses with me to and from the car. We have spots in the car to keep sunglasses, but they’re full these days and... so when I saw this case, decided to grab it. In general it’s a great, helpful item to have. But it’s not perfect.<br /><br />1. It arrives in a nice box, wrapped, and ready to go.<br />2. It’s easy to put in. There is the clip on the back - just slide it on.<br />3. It looks nice - a black faux leather kind of look and softer inside.<br />4. I tried a few different types and begins of sunglasses - some work, some do not. I can easily get the aviator style in, the ones with metal frames, but plastic frames that more wrap were all too big and did not fit. I tried pulling it further open, but was unable to get it to the point where they would go in well.<br />5. It sits on the outside or underside of the visor - on your side, not the roof side.<br />6. When the visor is up in front of you I do see it, but it’s not bothersome and within the first 10 or 15 minutes I forgot it was there and wasn’t “seeing it’ any longer.<br />7. When the visor is out - extended towards the window - it fits - in our Prius - fine, not holding the visor any lower than normal.<br /><br />Overall this is a nice holder and works fine. I do think one needs to consider 1. the kind of sunglasses and 2. how it’ll fit on the visor - 1. for protecting the glasses and 2. for safety in viewing. Beyond that, it seems well made and like it’ll last. I’m happy with this sunglasses case."
positive,So far so good
negative,"this is tough one. let me go over the good and the bad. then you can decide if it is right for you. these are exactly what they claim to be (which is not a compliment.<br /><br />Pro: they are what they say they are; one-time use, one size boot cover. they are water-proof as long as there are no holes in them.<br /><br />Con: they are thin and cheap, like every review says; about like a latex glove. they are costly. a box of 100 latex gloves is $9 and these are $7 for 1 pair. they are one size and that size is medium at best. they are very hard to get on over your shoes, again imagine putting on latex gloves that are too tight; it is a pain and can lead to tears. i took a pic to submit, but can not for this item. they are 11 inches long from heal to toe when laid flat.<br /><br />so, you don't walk on your hands when you wear latex gloves. there are not a couple a hundred pounds of pressure on latex gloves when you use them and you don't use latex gloves on the rough ground. see where i am going with this?<br /><br />so why 3 stars? they are what they are and if you need these them buy them. just know what to expect."
positive,Needed this.
negative,"Cinnamon,  love it!"
positive,Really nice but screw covers don't stay in place. This presented a problem with them falling out while driving. Good value for the product.
positive,"I bought this to blow out the A-coils in my HVAC air handler.  It worked perfectly, and blew out a ton of debris that was blocking the airflow in my HVAC system.<br /><br />After using this, the airflow at my registers in each room went from detectable at 12&#34; to detectable at well over 7' away!  My entire HVAC system usage also dropped about 20%.<br /><br />Totally great tool."
positive,"With the rainy weather upon us for the first time in years, I have found many uses for this grease on older cars that my friends have. It has helped with several tail light issues, where the trunk has been getting really wet. Love this stuff!"
positive,Thanks again....
positive,works as it should
negative,the cover is okay...the reason I gave it 2 stars was because the real strong smell of rubber that it omits is really strong and that rubber smell is left on your hands after driving.
positive,One of the Few plugs with Quality control you will get good continuity for tip to tip.
positive,Simply perfect. Very happy.
positive,Excellent!
positive,"Worked great nine my 2005 Ford Ranger, and the price was much less than local parts store."
positive,Purchased this product for both my sons. Good storage pouch and stays in place. They are happy with it.
positive,Never used but it looks like it'll work well enough when I do. I'll update if that changes.
negative,It doesn’t work
positive,Very handy!
positive,My husband had an old toolbox he kept bungie corded to a tie down on the side of the bed on his truck to keep it from rolling around.  I saw this and thought it was a little expensive but my husband has been so happu with it i feel it was money well spent and it definately is a lot cleNER LOOKING AND MUCH MORE FUNTIONAL.
positive,Perfect replacement for cracked reflector. I combined this with a uTube video and did the install myself. 🙂 Excellent overall experience.
